"FSSAI_No","Company_Name","Company_Address","Filling_Status","CIN","GST"
"2639-40,SHOP NO.12,CHADHA MARKET,NAYA BAZAR,DELHI-6","SANCHI CEREALS PVT.LTD.","[No records Found]","13321001001111","07AAPCS4626L1ZS"
"71/7, SHIVAJI MARG, NAJAFGARH ROAD, IND AREA CITY, DELHI-110015","GENETIX BIOTECH ASIA PVT LTD","[No records Found]","10016011003818","07AABCG4572B1ZY"
"LIWASPUR ROAD, BAHALGARH","ADSILA ORGANICS PVT. LTD.","[No records Found]","10814020000260","06AAMCA7767R1ZN"
"48/3 A SHOP NO.2 FIRST FLOOR BLK C LAWRANCE ROAD INDUSTRIAL AREA KESHAVPURAM NEW DELHI ","INDO EUROPEAN AGRO PRIVATE LIMITED","[No records Found]","13320001000179","07AABCI3568H1ZI"
"Village Berson PO Majholi Tehsil NAlagarh Distt Solan HP ","Elfin Drugs Pvt Ltd","[No records Found]","10920011000258","02AABCE5407D1ZE"
"Kh No. 554 to 558, 560, to 583, 600 to 606, Bagru Rawan, N.H.8, Tehsil Sanganer, Bagru","SKB FOOD PRODUCTS PRIVATE LIMITED","[No records Found]","12222027000911","01AAACS3746A1Z3"
"VILLAGE BARBANDA DONDE ","SHRI AMBIKA AGRO PRIVATE LIMITED","[No records Found]","10520016000968","22AAMCS2030F1ZU"
"GROUND FLOOR, GF 113-E, SUSHANT SHOPPING ARCADE, SUSHANT LOK-I, GURGAON","FINGERTIP FOODS PRIVATE LIMITED","[No records Found]","10817005000518","06AACCF4375L1ZE"
"C-24, SECTOR-67, NOIDA","SPYCY FAST FOOD PRIVATE LIMITED","[No records Found]","12715055000709","07AABCJ2013L1ZU"
"A-180, First Floor,  Double Storey","Brandrogen Services Private Limited","[No records Found]","13322999000058","07AAECB6503A1ZB"
"15/1-U GROUND FLOOR EAST PATEL NAGAR","COSMIC MEDITECH PRIVATE LIMITED","[No records Found]","13319002000523","07AAFCC2104D1ZE"
"C/O RUCHI INFRASTRUCTURE LIMITED, KANKHO KI DHANI, NEAR SANGANER RAILWAY STATION, SANGANER, JAIPUR","PENINSULAR TANKERS PRIVATE LIMITED","[No records Found]","10020013002123","08AAECP4930B1ZQ"
"HIRNAKHEDI TEH. CHAND ROAD
","N PUNJAB SUGARS PVT. LTD. ","[No records Found]","10017026001111","23AACCN5621M2ZG"
"PLOT NO.67/1, KAROL BAGH, NEW ROHTAK ROAD, DELHI","JEEWAN MALA HOSPITAL PRIVATE LIMITED","[No records Found]","13323005000485","07AABCJ0920A1ZD"
"Building No. 2 First Floor, Near Govt School Raipur Kalan","ZITHER PHARMACEUTICAL PRIVATE LIMITED","[No records Found]","13023999000004","04AAACZ3861H1ZC"
"ASSOCIATED BROKERS PRIVATE LTD.
RAMESH MANSION 
HOUSE NO. 158
2ND FLOOR,NEAR VIJAYA BANK,
RAJGARH ROAD, GUWAHATI","ASSOCIATED BROKERS PRIVATE LTD.","[No records Found]","10015071000767","19AAECA4414D1Z3"
"29/1, BARDARI INDUSTRIAL AREA, GAAP BUILDING","BHAYAJI MERCANTILE PRIVATE LIMITED","[No records Found]","11423999000039","23AADCB9799F1ZC"
"SURVEY NO.43/6 BARWANI ROAD ANJAD DIST BARWANI","SATKAR INDUSTRIES PRIVATE LIMITED","[No records Found]","10020026001792","23AAMCS1015J2ZJ"
"82, BHAGAT SING MARG","NEELKAMAL MULTITRADE PRIVATE LIMITED","[No records Found]","11417790000032","23AADCN1401C1ZF"
"136/2 BUDHPUR, BIJJAPUR","BLOOM IMPEX PVT LTD","[No records Found]","13323008000886","08AAACB0312R1ZR"
"Automated Vending Machine for Food and Beverages at Swami Vivekanada Airport Raipur","RBA Hospitality and Hotels Private Limited","[No records Found]","10524999000002","24AAGCR6235H1ZE"
"PATIALA ROAD, VILLAGE-NABHA, ZIRAKPUR, DISTRICT-SAS NAGAR,MOHALI","MARVEL RESIDENCY PRIVATE LIMITED","[No records Found]","12118801000130","03AAGCM3496D1ZM"
"Khasra No. 37//8/1(4-7) Min 8/2(1-14), Min 9/1,(2-4), Village  Rathdhana","UNIGLOBE AGRO IMPEX PRIVATE LIMITED","[No records Found]","10823020000183","06AABCU5788P1ZH"
"SHOP NO. 322/3, SADAR BAZAAR, BEHIND POST OFFICE","SHRESTH INTERNATIONAL PRIVATE LIMITED ","[No records Found]","10822005000331","06AAVCS0974P1ZD"
"A-100/3,OKHALA INDUSTRIAL AREA, PHASE II, SOUTH DELHI.","DELTA NUTRITIVES PVT. LTD.","[No records Found]","13319010000566","07AABCD6163B1Z2"
"KHASRA NO 1180, NEAR NANHERA ANATPUR, BHAGWANPUR, ","KEMFORD HEALTHCARE PRIVATE LIMITED","[No records Found]","12620006000210","20AAFCK7923G1ZR"
"A-145/75,STREET NO-1,KRISHNAPURI,MANDAWALI,DELHI,110092","SANYA EXIM PRIVATE LIMITED","[No records Found]","10017011004046","07AAICS7444K2ZU"
"Vill Rangian, Kalikh Majri Road, Kila Raipur-1, Dehlon, Ludhiana, Punjab-141118 INDIA","Hind Terminals Private Limited","[No records Found]","12121441000702","03AABCH4778A1ZZ"
"E-818, GROUND FLOOR DSIDC INDUSTRIAL AREA NARELA
DELHI-110040","DEVKI GLOBAL CAPITAL PRIVATE LIMITED","[No records Found]","10019011006677","07AABCD1855C1Z3"
"Moti Mahal Delux, Aman Market, Patiala Gate, Nabha","SRMJ BUSINESS PROMOTERS PVT. LTD.","[No records Found]","12119681000163","07AATCS8451P1Z9"
"Sai Road, Near Dawat Restaurant Baddi","Puneet Laboratories Pvt Ltd","[No records Found]","10921011000037","02AABCP4743K1ZJ"
